Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd)
Svalbard Lufthavn;SN99840;01.1918;-25,7
Svalbard Lufthavn;SN99840;02.1918;-19,9
Svalbard Lufthavn;SN99840;03.1918;-18,5
Svalbard Lufthavn;SN99840;04.1918;-13,9
Svalbard Lufthavn;SN99840;05.1918;-2,9
Svalbard Lufthavn;SN99840;06.1918;3,4
Svalbard Lufthavn;SN99840;07.1918;7,6
Svalbard Lufthavn;SN99840;08.1918;4,1
Svalbard Lufthavn;SN99840;09.1918;-0,9
Svalbard Lufthavn;SN99840;10.1918;-7,6
Svalbard Lufthavn;SN99840;11.1918;-10
Svalbard Lufthavn;SN99840;12.1918;-6,1
Svalbard Lufthavn;SN99840;01.1919;-6,9
Svalbard Lufthavn;SN99840;02.1919;-24,1
Svalbard Lufthavn;SN99840;03.1919;-23,8
Svalbard Lufthavn;SN99840;04.1919;-18,8
Svalbard Lufthavn;SN99840;05.1919;-2,3
Svalbard Lufthavn;SN99840;06.1919;4,1
Svalbard Lufthavn;SN99840;07.1919;4,6
Svalbard Lufthavn;SN99840;08.1919;4,5
Svalbard Lufthavn;SN99840;09.1919;-0,9
Svalbard Lufthavn;SN99840;10.1919;-5
Svalbard Lufthavn;SN99840;11.1919;-14,9
Svalbard Lufthavn;SN99840;12.1919;-12,8
Svalbard Lufthavn;SN99840;01.1920;-12,5
Svalbard Lufthavn;SN99840;02.1920;-18,8
Svalbard Lufthavn;SN99840;03.1920;-10,4
Svalbard Lufthavn;SN99840;04.1920;-13,5
Svalbard Lufthavn;SN99840;05.1920;-3,7
Svalbard Lufthavn;SN99840;06.1920;1,7
Svalbard Lufthavn;SN99840;07.1920;4,9
Svalbard Lufthavn;SN99840;08.1920;5,2
Svalbard Lufthavn;SN99840;09.1920;0
Svalbard Lufthavn;SN99840;10.1920;-3
Svalbard Lufthavn;SN99840;11.1920;-7,4
Svalbard Lufthavn;SN99840;12.1920;-9,9
Svalbard Lufthavn;SN99840;01.1921;-16,9
Svalbard Lufthavn;SN99840;02.1921;-18,8
Svalbard Lufthavn;SN99840;03.1921;-16,6
Svalbard Lufthavn;SN99840;04.1921;-11,2
Svalbard Lufthavn;SN99840;05.1921;-5,7
Svalbard Lufthavn;SN99840;06.1921;2,8
Svalbard Lufthavn;SN99840;07.1921;6,1
Svalbard Lufthavn;SN99840;08.1921;5,1
Svalbard Lufthavn;SN99840;09.1921;-1,9
Svalbard Lufthavn;SN99840;10.1921;-7,7
Svalbard Lufthavn;SN99840;11.1921;-10,7
Svalbard Lufthavn;SN99840;12.1921;-10,9
Svalbard Lufthavn;SN99840;01.1922;-5,6
Svalbard Lufthavn;SN99840;02.1922;-11,1
Svalbard Lufthavn;SN99840;03.1922;-18,2
Svalbard Lufthavn;SN99840;04.1922;-13,3
Svalbard Lufthavn;SN99840;05.1922;-4,5
Svalbard Lufthavn;SN99840;06.1922;4,6
Svalbard Lufthavn;SN99840;07.1922;7,7
Svalbard Lufthavn;SN99840;08.1922;5,6
Svalbard Lufthavn;SN99840;09.1922;1
Svalbard Lufthavn;SN99840;10.1922;-4,7
Svalbard Lufthavn;SN99840;11.1922;-6,5
Svalbard Lufthavn;SN99840;12.1922;-14,5
Svalbard Lufthavn;SN99840;01.1923;-14
Svalbard Lufthavn;SN99840;02.1923;-15,9
Svalbard Lufthavn;SN99840;03.1923;-14,4
Svalbard Lufthavn;SN99840;04.1923;-11,2
Svalbard Lufthavn;SN99840;05.1923;-4,6
Svalbard Lufthavn;SN99840;06.1923;1,8
Svalbard Lufthavn;SN99840;07.1923;6,2
Svalbard Lufthavn;SN99840;08.1923;5,1
Svalbard Lufthavn;SN99840;09.1923;1,1
Svalbard Lufthavn;SN99840;10.1923;-3,4
Svalbard Lufthavn;SN99840;11.1923;-7,8
Svalbard Lufthavn;SN99840;12.1923;-9,5
Svalbard Lufthavn;SN99840;01.1924;-10,7
Svalbard Lufthavn;SN99840;02.1924;-11,8
Svalbard Lufthavn;SN99840;03.1924;-20,2
Svalbard Lufthavn;SN99840;04.1924;-12,2
Svalbard Lufthavn;SN99840;05.1924;-3,2
Svalbard Lufthavn;SN99840;06.1924;1,4
Svalbard Lufthavn;SN99840;07.1924;7,4
Svalbard Lufthavn;SN99840;08.1924;5
Svalbard Lufthavn;SN99840;09.1924;0,5
Svalbard Lufthavn;SN99840;10.1924;-4
Svalbard Lufthavn;SN99840;11.1924;-8,6
Svalbard Lufthavn;SN99840;12.1924;-8,9
Svalbard Lufthavn;SN99840;01.1925;-12,1
Svalbard Lufthavn;SN99840;02.1925;-13,5
Svalbard Lufthavn;SN99840;03.1925;-12
Svalbard Lufthavn;SN99840;04.1925;-12,3
Svalbard Lufthavn;SN99840;05.1925;-6,9
Svalbard Lufthavn;SN99840;06.1925;4
Svalbard Lufthavn;SN99840;07.1925;5,5
Svalbard Lufthavn;SN99840;08.1925;5,5
Svalbard Lufthavn;SN99840;09.1925;2,6
Svalbard Lufthavn;SN99840;10.1925;-6,6
Svalbard Lufthavn;SN99840;11.1925;-9,7
Svalbard Lufthavn;SN99840;12.1925;-16
Svalbard Lufthavn;SN99840;01.1926;-14
Svalbard Lufthavn;SN99840;02.1926;-18,7
Svalbard Lufthavn;SN99840;03.1926;-17,4
Svalbard Lufthavn;SN99840;04.1926;-10,8
Svalbard Lufthavn;SN99840;05.1926;-6,9
Svalbard Lufthavn;SN99840;06.1926;1,5
Svalbard Lufthavn;SN99840;07.1926;5,6
Svalbard Lufthavn;SN99840;08.1926;3,7
Svalbard Lufthavn;SN99840;09.1926;1,1
Svalbard Lufthavn;SN99840;10.1926;-5,9
Svalbard Lufthavn;SN99840;11.1926;-12
Svalbard Lufthavn;SN99840;12.1926;-11,2
Svalbard Lufthavn;SN99840;01.1927;-15,3
Svalbard Lufthavn;SN99840;02.1927;-12,1
Svalbard Lufthavn;SN99840;03.1927;-18,9
Svalbard Lufthavn;SN99840;04.1927;-17,9
Svalbard Lufthavn;SN99840;05.1927;-6,7
Svalbard Lufthavn;SN99840;06.1927;1,8
Svalbard Lufthavn;SN99840;07.1927;5,2
Svalbard Lufthavn;SN99840;08.1927;5,2
Svalbard Lufthavn;SN99840;09.1927;-0,9
Svalbard Lufthavn;SN99840;10.1927;-5,9
Svalbard Lufthavn;SN99840;11.1927;-9,3
Svalbard Lufthavn;SN99840;12.1927;-15,4
Svalbard Lufthavn;SN99840;01.1928;-11,8
Svalbard Lufthavn;SN99840;02.1928;-14,1
Svalbard Lufthavn;SN99840;03.1928;-16,8
Svalbard Lufthavn;SN99840;04.1928;-14,7
Svalbard Lufthavn;SN99840;05.1928;-5,3
Svalbard Lufthavn;SN99840;06.1928;1
Svalbard Lufthavn;SN99840;07.1928;5,1
Svalbard Lufthavn;SN99840;08.1928;4,7
Svalbard Lufthavn;SN99840;09.1928;0,1
Svalbard Lufthavn;SN99840;10.1928;-8,2
Svalbard Lufthavn;SN99840;11.1928;-11,5
Svalbard Lufthavn;SN99840;12.1928;-13,4
Svalbard Lufthavn;SN99840;01.1929;-20,2
Svalbard Lufthavn;SN99840;02.1929;-9,3
Svalbard Lufthavn;SN99840;03.1929;-24,4
Svalbard Lufthavn;SN99840;04.1929;-19,3
Svalbard Lufthavn;SN99840;05.1929;-7,9
Svalbard Lufthavn;SN99840;06.1929;1,1
Svalbard Lufthavn;SN99840;07.1929;3,9
Svalbard Lufthavn;SN99840;08.1929;3,7
Svalbard Lufthavn;SN99840;09.1929;-0,3
Svalbard Lufthavn;SN99840;10.1929;-7,1
Svalbard Lufthavn;SN99840;11.1929;-12,1
Svalbard Lufthavn;SN99840;12.1929;-5,4
Svalbard Lufthavn;SN99840;01.1930;-14,4
Svalbard Lufthavn;SN99840;02.1930;-12,7
Svalbard Lufthavn;SN99840;03.1930;-21
Svalbard Lufthavn;SN99840;04.1930;-9,8
Svalbard Lufthavn;SN99840;05.1930;-3,4
Svalbard Lufthavn;SN99840;06.1930;3,2
Svalbard Lufthavn;SN99840;07.1930;7,5
Svalbard Lufthavn;SN99840;08.1930;5,7
Svalbard Lufthavn;SN99840;09.1930;0,1
Svalbard Lufthavn;SN99840;10.1930;-5,8
Svalbard Lufthavn;SN99840;11.1930;-6,6
Svalbard Lufthavn;SN99840;12.1930;-5
Svalbard Lufthavn;SN99840;01.1931;-12,8
Svalbard Lufthavn;SN99840;02.1931;-9,3
Svalbard Lufthavn;SN99840;03.1931;-17,3
Svalbard Lufthavn;SN99840;04.1931;-6,9
Svalbard Lufthavn;SN99840;05.1931;-5,9
Svalbard Lufthavn;SN99840;06.1931;2,7
Svalbard Lufthavn;SN99840;07.1931;6,2
Svalbard Lufthavn;SN99840;08.1931;4,8
Svalbard Lufthavn;SN99840;09.1931;0
Svalbard Lufthavn;SN99840;10.1931;-6,9
