Dato;Bokført;Spesifikasjon;Sted;"Valuta
";Utl. beløp;Beløp
02-04;03-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;100,00
02-04;03-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;125,00
02-04;03-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;125,00
02-04;03-04;VIPPS*JACOB FAESTE JEN;OSLO;;0,00;50,00
02-04;03-04;VIPPS*JACOB FAESTE JEN;OSLO;;0,00;115,00
02-04;03-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;375,00
02-04;03-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;50,00
01-04;03-04;VIPPS*ERLEND BERG FARS;OSLO;;0,00;2 100,00
20-03;21-03;VIPPS*JONAS ULRIKSEN;OSLO;;0,00;250,00
19-03;20-03;1-MINUTE 54607;GDANSK;PLN;10,50;26,38
Valutakurs: 2.5124 Valutapåslag inngår med 2.00% ;;;;;;
19-03;20-03;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
18-03;20-03;KLUB PARLAMENT BAR IV;GDANSK;PLN;26,00;65,30
Valutakurs: 2.5115 Valutapåslag inngår med 2.00% ;;;;;;
18-03;20-03;KLUB PARLAMENT BAR I;GDANSK;PLN;13,00;32,65
Valutakurs: 2.5115 Valutapåslag inngår med 2.00% ;;;;;;
18-03;20-03;KLUB PARLAMENT BAR II;GDANSK;PLN;26,00;65,30
Valutakurs: 2.5115 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;KLUB PARLAMENT VII;GDANSK;PLN;4,00;10,05
Valutakurs: 2.5125 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;KLUB PARLAMENT BAR II;GDANSK;PLN;30,00;75,35
Valutakurs: 2.5117 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;KLUB PARLAMENT XI;GDANSK;PLN;20,00;50,24
Valutakurs: 2.5120 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;ZABKA Z5909 K.1;GDANSK;PLN;35,30;89,49
Valutakurs: 2.5351 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;HAOS GDANSK;GDANSK;PLN;500,00;1 255,86
Valutakurs: 2.5117 Valutapåslag inngår med 2.00% ;;;;;;
17-03;20-03;VIPPS*TORJE JOHANSEN;OSLO;;0,00;445,00
16-03;17-03;FAHRENHEIT RESTAURANT;GDANSK;PLN;55,00;139,44
Valutakurs: 2.5353 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;ZABKA Z5909 K.1;GDANSK;PLN;80,68;203,29
Valutakurs: 2.5197 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 1;GDANSK;PLN;60,00;152,12
Valutakurs: 2.5353 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 1;GDANSK;PLN;78,00;197,76
Valutakurs: 2.5354 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 3;GDANSK;PLN;23,00;58,31
Valutakurs: 2.5352 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 4;GDANSK;PLN;32,00;81,13
Valutakurs: 2.5353 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 4;GDANSK;PLN;19,00;48,17
Valutakurs: 2.5353 Valutapåslag inngår med 2.00% ;;;;;;
16-03;17-03;KLUBOGALERIA BUNKIER 1;GDANSK;PLN;30,00;76,06
Valutakurs: 2.5353 Valutapåslag inngår med 2.00% ;;;;;;
14-03;15-03;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;245,08
04-03;07-03;BUNNPRIS TORGGA;BERGEN;;0,00;87,70
